aco_flight_number,plot_datetime,study_area,plot_id,plot_type,cardinal,distance,multi_core,depth,core,plug,mass,notes,elevation,longitude,latitude,easting,northing,geometry,canopy_height,canopy_density,canopy_cover,aspect,SD_lidar,slope,field - lidar,aspect_cardinal,cover_type
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,N,10.0,no,275,,0,,,1331.1671142578125,-124.5571025,49.1991623,386566.412,5450773.019,POINT (386566.412 5450773.019),0,0.0,0.0,23.747791290283203,272.0,29.980037689208984,3.0,Northeast,open
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,N,10.0,no,170,135.0,0,660.0,,1243.8470458984375,-124.5537771,49.20333944,386818.185,5451232.384,POINT (386818.185 5451232.384),19,91.69999694824219,100.0,291.4798583984375,210.0,21.48642921447754,-40.0,West,under canopy
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,N,10.0,no,307,290.0,0,1240.0,Lost some and couldnít get all the way to the bottom.,1243.2191162109375,-124.5526971,49.20319333,386896.521,5451214.528,POINT (386896.521 5451214.528),12,84.80000305175781,83.30000305175781,152.49832153320312,307.0,16.830780029296875,0.0,Southeast,under canopy
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,N,10.0,yes,310,240.0,0,1160.0,,1555.1151123046875,-124.5714063,49.20964315,385548.621,5451959.644,POINT (385548.621 5451959.644),4,50.0,75.0,130.6328125,302.0,14.885720252990723,8.0,Southeast,under canopy
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,N,10.0,yes,310,240.0,0,1160.0,Multipart core final depth,1555.1151123046875,-124.5714063,49.20964315,385548.621,5451959.644,POINT (385548.621 5451959.644),4,50.0,75.0,130.6328125,302.0,14.885720252990723,8.0,Southeast,under canopy
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,N,10.0,yes,220,200.0,0,1340.0,Not to ground very dense 10 cm unaccounted for. Note in massive tree well,1550.3040771484375,-124.5725777,49.2107934,385465.967,5452089.282,POINT (385465.967 5452089.282),2,71.4000015258789,83.30000305175781,146.24537658691406,164.0,23.031179428100586,56.0,Southeast,under canopy
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,N,10.0,yes,281,310.0,0,1730.0,,1519.8331298828125,-124.5728909,49.2124938,385447.085,5452278.778,POINT (385447.085 5452278.778),0,0.0,0.0,8.858973503112793,353.0,39.90890884399414,-72.0,North,open
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,S,2.5,,220,,0,,,1376.56201171875,-124.5676667,49.20373299,385807.369,5451284.501,POINT (385807.369 5451284.501),3,42.900001525878906,75.0,251.14385986328125,272.0,21.947227478027344,-52.0,West,under canopy
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,2.5,,360,,0,,,1552.3150634765625,-124.5714063,49.20964315,385548.621,5451947.144,POINT (385548.621 5451947.144),6,86.69999694824219,100.0,145.60662841796875,356.0,13.10557746887207,4.0,Southeast,under canopy
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,S,2.5,,380,,0,,,1549.8150634765625,-124.5725777,49.2107934,385465.967,5452076.782,POINT (385465.967 5452076.782),0,0.0,0.0,316.47882080078125,405.0,18.1684627532959,-25.0,Northwest,open
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,S,2.5,,315,,0,,,1333.238037109375,-124.5571025,49.1991623,386566.412,5450760.519,POINT (386566.412 5450760.519),0,0.0,0.0,306.5392761230469,290.0,24.41526222229004,25.0,Northwest,open
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,S,2.5,,230,,0,,,1245.3330078125,-124.5537771,49.20333944,386818.185,5451219.884,POINT (386818.185 5451219.884),0,0.0,0.0,306.4126281738281,236.0,23.805498123168945,-6.0,Northwest,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,2.5,,320,,0,,,1522.987060546875,-124.5728909,49.2124938,385447.085,5452266.278,POINT (385447.085 5452266.278),0,0.0,0.0,33.9041633605957,334.0,6.868692398071289,-14.0,Northeast,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,2.5,,320,,0,,,1522.987060546875,-124.5728909,49.2124938,385447.085,5452266.278,POINT (385447.085 5452266.278),0,0.0,0.0,33.9041633605957,334.0,6.868692398071289,-14.0,Northeast,open
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,S,2.5,,220,,0,,,1242.2750244140625,-124.5526971,49.20319333,386896.521,5451202.028,POINT (386896.521 5451202.028),4,40.0,50.0,83.51699829101562,242.0,8.839094161987305,-22.0,East,sparse trees
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,S,5.0,,254,,0,,In trees,1376.445068359375,-124.5676667,49.20373299,385807.369,5451282.001,POINT (385807.369 5451282.001),0,0.0,0.0,244.99447631835938,266.0,20.190595626831055,-12.0,Southwest,open
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,5.0,,370,,0,,,1551.7310791015625,-124.5714063,49.20964315,385548.621,5451944.644,POINT (385548.621 5451944.644),5,85.69999694824219,100.0,146.65895080566406,288.0,13.565671920776367,82.0,Southeast,under canopy
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,S,5.0,,355,,0,,,1550.3990478515625,-124.5725777,49.2107934,385465.967,5452074.282,POINT (385465.967 5452074.282),0,0.0,0.0,317.31732177734375,372.0,22.346426010131836,-17.0,Northwest,open
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,S,5.0,,300,,0,,,1333.6080322265625,-124.5571025,49.1991623,386566.412,5450758.019,POINT (386566.412 5450758.019),0,0.0,0.0,285.59747314453125,292.0,16.35822296142578,8.0,West,open
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,S,5.0,,230,,0,,,1246.008056640625,-124.5537771,49.20333944,386818.185,5451217.384,POINT (386818.185 5451217.384),3,44.400001525878906,100.0,302.9840087890625,228.0,22.496196746826172,2.0,Northwest,under canopy
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,5.0,,330,,0,,,1523.7410888671875,-124.5728909,49.2124938,385447.085,5452263.778,POINT (385447.085 5452263.778),0,0.0,0.0,8.481364250183105,319.0,15.276188850402832,11.0,North,open
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,5.0,,330,,0,,,1523.7410888671875,-124.5728909,49.2124938,385447.085,5452263.778,POINT (385447.085 5452263.778),0,0.0,0.0,8.481364250183105,319.0,15.276188850402832,11.0,North,open
