aco_flight_number,plot_datetime,study_area,plot_id,plot_type,cardinal,distance,multi_core,depth,core,plug,mass,notes,elevation,longitude,latitude,easting,northing
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,S,5,,220,,0,,,1242.650024,-124.5526971,49.20319333,386896.521,5451199.528
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,S,7.5,,290,,0,,,1375.099976,-124.5676667,49.20373299,385807.369,5451279.501
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,7.5,,325,,0,,,1551.349976,-124.5714063,49.20964315,385548.621,5451942.144
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,S,7.5,,360,,0,,,1550.829956,-124.5725777,49.2107934,385465.967,5452071.782
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,S,7.5,,290,,0,,,1334.25,-124.5571025,49.1991623,386566.412,5450755.519
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,S,7.5,,250,,0,,,1246.01001,-124.5537771,49.20333944,386818.185,5451214.884
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,7.5,,314,,0,,,1524.27002,-124.5728909,49.2124938,385447.085,5452261.278
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,7.5,,314,,0,,,1524.27002,-124.5728909,49.2124938,385447.085,5452261.278
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,S,7.5,,210,,0,,,1242.650024,-124.5526971,49.20319333,386896.521,5451197.028
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,S,10,,300,,0,,,1374.150024,-124.5676667,49.20373299,385807.369,5451277.001
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,10,,325,,0,,,1550.550049,-124.5714063,49.20964315,385548.621,5451939.644
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,S,10,no,285,,0,,,1334.25,-124.5571025,49.1991623,386566.412,5450753.019
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,S,10,no,235,198,0,850,,1246.27002,-124.5537771,49.20333944,386818.185,5451212.384
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,S,10,no,230,180,0,830,In amongst 3 trees,1242.560059,-124.5526971,49.20319333,386896.521,5451194.528
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,10,yes,325,250,0,1260,,1550.550049,-124.5714063,49.20964315,385548.621,5451939.644
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,S,10,yes,325,250,0,1260,Multipart core likely picked up snow in the second part core,1550.550049,-124.5714063,49.20964315,385548.621,5451939.644
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,S,10,yes,335,331,0,1820,,1552.380005,-124.5725777,49.2107934,385465.967,5452069.282
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,S,10,yes,280,307,0,1590,,1524.599976,-124.5728909,49.2124938,385447.085,5452258.778
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,W,2.5,,240,,0,,,1375.670044,-124.5676667,49.20373299,385804.869,5451287.001
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,W,2.5,,310,,0,,,1552.869995,-124.5714063,49.20964315,385546.121,5451949.644
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,W,2.5,,420,,0,,,1549.069946,-124.5725777,49.2107934,385463.467,5452079.282
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,W,2.5,,325,,0,,,1332.680054,-124.5571025,49.1991623,386563.912,5450763.019
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,W,2.5,,260,,0,,,1244.229981,-124.5537771,49.20333944,386815.685,5451222.384
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,W,2.5,,277,,0,,,1522.939941,-124.5728909,49.2124938,385444.585,5452268.778
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,W,2.5,,277,,0,,,1522.939941,-124.5728909,49.2124938,385444.585,5452268.778
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,W,2.5,,260,,0,,,1242.030029,-124.5526971,49.20319333,386894.021,5451204.528
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,W,5,,260,,0,,,1375.670044,-124.5676667,49.20373299,385802.369,5451287.001
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,W,5,,300,,0,,,,-124.5714063,49.20964315,385543.621,5451949.644
1,3/10/2021 12:50,Englishman,E1A,Cardinal 10 m,W,5,,425,,0,,,1548.949951,-124.5725777,49.2107934,385460.967,5452079.282
1,3/11/2021 13:51,Englishman,N2F,Cardinal 10 m,W,5,,260,,0,,,1332.680054,-124.5571025,49.1991623,386561.412,5450763.019
1,3/11/2021 15:02,Englishman,W3F,Cardinal 10 m,W,5,,250,,0,,,1244.229981,-124.5537771,49.20333944,386813.185,5451222.384
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,W,5,,290,,0,,,1522.939941,-124.5728909,49.2124938,385442.085,5452268.778
1,3/10/2021 14:51,Englishman,N1A,Cardinal 10 m,W,5,,290,,0,,,1522.939941,-124.5728909,49.2124938,385442.085,5452268.778
1,3/11/2021 16:09,Englishman,E3F,Cardinal 10 m,W,5,,280,,0,,,1243.040039,-124.5526971,49.20319333,386891.521,5451204.528
1,3/9/2021 16:36,Englishman,S3F,Cardinal 10 m,W,7.5,,210,,0,,,1374.819946,-124.5676667,49.20373299,385799.869,5451287.001
1,3/10/2021 10:39,Englishman,S1A,Cardinal 10 m,W,7.5,,230,,0,,,,-124.5714063,49.20964315,385541.121,5451949.644
